Study Accession,Sample Accession or Sample ID,gmhi_value,isHealthy
N7,SAMN08814025,-0.12026301841105623,False
PRJEB4336,SAMEA2152531,-0.11786534132838646,False
PRJEB12449,SAMEA3879513,-0.11771962288169217,False
PRJEB6997,SAMEA2737705,-0.11701245580159632,False
PRJNA422434,SAMN00792039,-0.11700286794933122,False
PRJNA389280,SAMN07424464,-0.11517895194493362,False
PRJEB1690,SAMEA2055274,-0.11488831558835293,True
PRJEB21528,SAMEA104142222,-0.11450660175455978,True
N8,SAMEA4817953,-0.11323864598220988,False
PRJEB12123,SAMEA3708571,-0.11197009748982983,True
PRJEB1220,SAMEA2042581,-0.11083077555217297,True
PRJEB1786,SAMEA1906418,-0.11045074319037317,False
PRJEB6337,SAMEA2581886,-0.1100493247004334,True
L1,SAMEA2582148,-0.10940000192942449,False
PRJNA422434,SAMN00715261,-0.10719828741875712,False
N4,SRR5275440,-0.10638377331992474,False
PRJEB12123,SAMEA3708598,-0.10636630991310946,True
PRJEB15371,SAMEA4431989,-0.10619194331163682,True
PRJEB1220,SAMEA2042203,-0.10364460939771096,False
PRJEB12123,SAMEA3708471,-0.1022276551276706,False
PRJEB12123,SAMEA3708504,-0.10143276765905547,False
H1,SAMEA103958155,-0.10115636362667478,True
PRJEB15371,SAMEA4431959,-0.1006605188160213,True
PRJNA290729,SAMN03922450,-0.09996696200997672,False
PRJEB21528,SAMEA104142208,-0.09788470226267328,False
PRJEB6337,SAMEA2581909,-0.09772326220777107,True
L1,SAMEA2582153,-0.09731289536911066,False
PRJEB1786,SAMEA1906555,-0.09660003671303145,False
PRJEB6070,SAMEA2467025,-0.09616725521843449,False
PRJEB6997,SAMEA2737779,-0.09553017277175214,False
PRJNA422434,SAMN00792096,-0.09515361672386861,False
N5,SRR5279284,-0.09504850610132044,False
PRJNA389280,SAMN07424419,-0.0935375015320518,False
PRJEB6997,SAMEA2737697,-0.09257951695358095,False
N4,SRR5275479,-0.09177767066206018,False
PRJEB12449,SAMEA3879586,-0.0907981827529585,False
PRJEB12123,SAMEA3708521,-0.09011672708685343,False
PRJNA319574,SAMN06110052,-0.0899089476186604,True
N1,SAMN07448982,-0.08905006273820344,True
PRJNA319574,SAMN06110177,-0.08859503303380432,True
PRJEB12449,SAMEA3879552,-0.08749294672339376,True
PRJEB1786,SAMEA1906501,-0.08722603381033031,False
PRJEB1786,SAMEA1906493,-0.08667998240503427,False
N8,SAMEA4817946,-0.08529395959642881,False
PRJEB7774,SAMEA3136711,-0.08407857752477953,False
PRJEB1786,SAMEA1906441,-0.08333246338114403,True
PRJEB11532,SAMEA3664557,-0.082834867835987,True
PRJEB1220,SAMEA2042605,-0.0820525987188644,False
PRJNA328899,SAMN05414895,-0.07764752481594345,True
PRJNA268964,SAMN03283261,-0.07619530841141399,False
PRJEB1786,SAMEA1906417,-0.0746282863366396,False
PRJEB12449,SAMEA3879527,-0.07201175955645962,False
PRJNA422434,SAMN00715243,-0.0670495704658541,True
PRJNA389280,SAMN07424492,-0.06620850132826525,False
PRJNA389280,SAMN07424513,-0.06556764831384597,False
PRJEB1786,SAMEA1906490,-0.06332897756904109,True
PRJNA422434,SAMN00715224,-0.060291753031689016,False
PRJEB12123,SAMEA3708591,-0.060164279628111245,True
PRJEB12449,SAMEA3879544,-0.06000331939702423,False
V1,RHB_RAM_0007,-0.05916866330647909,False
PRJNA48479,SAMN00036881,-0.0588050096446055,True
H1,SAMEA103958138,-0.05861220164649965,True
PRJEB6337,SAMEA2581902,-0.05850078850169142,True
PRJNA422434,SAMN00715201,-0.05711048542323864,False
PRJNA48479,SAMN00068879,-0.05617544496229118,True
N5,SRR5279237,-0.0559295887822092,False
PRJEB7774,SAMEA3136642,-0.054631924136922735,True
PRJEB4336,SAMEA2152064,-0.05149188125901631,False
L1,SAMEA2582095,-0.050934482096499076,False
PRJNA422434,SAMN00715196,-0.05019858055683743,False
PRJNA305507,SAMN04329836,-0.04719203888121602,True
PRJNA268964,SAMN03283262,-0.04618661020854553,False
H1,SAMEA103958135,-0.04487262005112867,True
PRJEB6997,SAMEA2737785,-0.044172099375415635,False
PRJEB4336,SAMEA2163432,-0.04399199199389055,False
PRJEB6337,SAMEA2581982,-0.042525396672419405,True
PRJEB12449,SAMEA3879568,-0.04112839450616962,True
PRJEB12449,SAMEA3879595,-0.04096025027518689,False
N5,SRR5279290,-0.040527116349627024,False
PRJEB1220,SAMEA2042511,-0.039260479527946965,True
PRJEB4336,SAMEA2149271,-0.038330082660618534,True
PRJEB6070,SAMEA2467039,-0.0378750839498891,True
PRJEB6337,SAMEA2581946,-0.03730973885925826,True
N7,SAMN08814000,-0.0341948872928505,False
PRJEB12449,SAMEA3879580,-0.032374150407917815,False
PRJEB1786,SAMEA1906522,-0.031079512027453165,False
PRJEB6997,SAMEA2737877,-0.029173865775013668,True
PRJEB1220,SAMEA2042435,-0.027107758293725286,False
N5,SRR5279302,-0.02588268793562241,False
PRJEB6070,SAMEA2467029,-0.025359689890403502,True
PRJEB6997,SAMEA2737700,-0.02478037431794172,False
PRJEB1220,SAMEA2042490,-0.024695400848497678,False
PRJEB15371,SAMEA4431974,-0.024158325010202607,True
PRJEB6070,SAMEA2466995,-0.024139008253554483,False
PRJEB1220,SAMEA2042602,-0.02392740381208856,False
PRJEB1220,SAMEA2042498,-0.023922281754081145,False
