Study Accession,Sample Accession or Sample ID,MDS1,MDS2,isHealthy
PRJEB7774,SAMEA3136687,-0.35123563557499143,-0.18433604157812702,False
PRJEB21528,SAMEA104142162,-0.3617338300440178,-0.16502971895360685,False
PRJEB6070,SAMEA2466998,-0.42663644678372675,0.31300129622022543,False
PRJNA385949,SAMN07199873,-0.07660941528391128,0.389264716199076,False
PRJEB21528,SAMEA104142245,-0.1528253041252761,0.306756194415997,False
PRJEB6070,SAMEA2466972,-0.16601061788951513,-0.2140487311649432,False
PRJEB21528,SAMEA104142283,-0.3922795888266642,0.2246281604038931,False
PRJEB6070,SAMEA2467070,-0.07532664456292952,0.34410751345814156,False
L1,SAMEA2582033,0.019623876969490747,0.48438863352125133,False
N5,SRR5279273,-0.3717062216505913,-0.26825978674309886,False
PRJEB7774,SAMEA3136737,0.05615612973659445,0.3308377156681336,False
L1,SAMEA2582184,-0.48304321622738144,-0.024602808851916756,False
PRJEB6997,SAMEA2737731,-0.014582195830311886,0.2349507234420267,False
PRJNA385949,SAMN07199841,-0.11454386451959948,0.6352334929017541,False
PRJEB21528,SAMEA104142311,-0.02768936563370954,0.43282253853426406,False
N7,SAMN08813922,0.07011324088347157,0.32111197869653213,False
L1,SAMEA2582134,0.3250744959078613,0.4337718961518262,False
PRJNA299502,SAMN04209244,-0.46712367652561687,0.3485139795557215,False
PRJEB21528,SAMEA104142098,0.018112252884972885,0.2605861120619215,False
PRJNA422434,SAMN00792030,-0.5867572855774599,0.10627228226997983,False
N7,SAMN08813946,-0.13252874860374037,0.232510524567906,False
PRJEB15371,SAMEA4431885,-0.6532130250834292,0.17396544326653568,False
PRJEB21528,SAMEA104142293,-0.33400716969393257,0.2309815047735628,False
PRJEB21528,SAMEA104142304,-0.2578173497225652,0.1918736698169197,False
PRJEB21528,SAMEA104142252,-0.2246052774773643,0.31034347754468666,False
PRJEB10878,SAMEA3541573,-0.2339347513691188,0.1795855192777643,False
PRJEB10878,SAMEA3541500,-0.2467802588560159,0.1768080146493927,False
PRJEB1220,SAMEA1972440,-0.31091724358252837,0.2487842004614796,False
N8,SAMEA4817899,0.03623279035404403,0.48891089297550716,False
L1,SAMEA2582046,-0.34943514834103373,-0.10205357973044117,False
PRJEB12449,SAMEA3879609,-0.5226306690514744,0.39009952694912575,False
PRJEB21528,SAMEA104142298,0.14904212231689012,0.42530221944941415,False
N7,SAMN08813957,-0.009293135209034336,0.3524844622438241,False
PRJEB12123,SAMEA3708500,-0.1103441785106726,0.404691637804537,False
PRJEB10878,SAMEA3541569,-0.21942514208255554,0.2482338479414356,False
PRJEB21528,SAMEA104142117,-0.11278449153735305,0.2626762779157376,True
PRJEB21528,SAMEA104142271,-0.36771127028603506,0.39354691191612434,False
PRJEB21528,SAMEA104142136,-0.2649099577489713,0.2084596783850522,False
L1,SAMEA2582067,-0.17742005562032948,0.3895262820011749,False
PRJEB21528,SAMEA104142112,-0.10691982862328872,0.2928045284451541,False
PRJEB6997,SAMEA2737847,-0.2396876951409983,0.1537556865470544,False
N7,SAMD00114731,0.019728756176484123,0.17510022333473516,False
PRJEB15371,SAMEA4431899,-0.5182885526906863,0.21274594245003023,False
PRJNA422434,SAMN00993242,-0.27392914322547357,0.4196517371586095,False
PRJEB10878,SAMEA3541578,-0.22919120537695245,-0.03844623055467527,False
PRJNA422434,SAMN00792110,-0.5354532921725405,0.3424178255877545,False
PRJNA422434,SAMN00993243,-0.1916459855132314,0.02145503908819541,False
PRJEB7774,SAMEA3136752,0.06726224653018592,0.15996063973489785,False
L1,SAMEA2582081,-0.0276958252896864,0.38898326258341326,False
PRJEB7774,SAMEA3136657,-0.20310703933029783,0.5018546666953421,False
N7,SAMD00154994,-0.11395420131154141,0.27942726572310506,False
PRJEB21528,SAMEA104142240,-0.339509079579773,0.42421898537795344,False
PRJEB1220,SAMEA2042406,-0.4372309860800682,0.20430739814792714,False
PRJEB21528,SAMEA104142226,-0.14991991984189076,0.0536765044309877,False
PRJEB21528,SAMEA104142194,-0.23559959770802336,-0.0009217937409587264,False
PRJEB4336,SAMEA2153251,-0.45739550349977626,0.3022099143690274,False
PRJEB10878,SAMEA3541484,-0.26149023168874447,0.4400724449668308,False
PRJEB21528,SAMEA104142173,-0.2960810016717612,0.15481327566397995,False
N5,SRR5279217,-0.4450551268089731,0.03661737579990284,False
L1,SAMEA2582155,0.2873633545821045,0.3711637665236033,False
PRJEB10878,SAMEA3541483,-0.4042964293538184,0.22309851824831745,False
PRJEB6997,SAMEA2737692,-0.47575665292726965,0.46783808087778045,False
PRJDB3601,SAMD00036377,-0.13365583954615895,0.3924240899901608,False
PRJEB10878,SAMEA3541506,-0.1549653521366606,0.08493334348098774,False
PRJEB6997,SAMEA2737701,-0.052618074764452925,0.25815271173650794,False
PRJEB12123,SAMEA3708528,-0.3229776463094238,0.2142893857291501,False
PRJEB6997,SAMEA2737695,-0.29335793599163573,0.223685495190932,False
PRJNA422434,SAMN00792104,-0.39254511282691806,0.2637983450048719,False
PRJEB15371,SAMEA4431910,-0.267397506440925,0.04852776325023561,False
PRJEB15371,SAMEA4431979,-0.27277706108078553,0.26996551102101646,True
PRJEB21528,SAMEA104142316,-0.32740780321770996,-0.13124690731316516,False
L1,SAMEA2582059,-0.19507022584272257,0.4853104193380598,False
L1,SAMEA2582061,-0.2000419138851641,0.17853518459182,False
N4,SRR5275460,-0.0081148054773295,0.4773332685322158,False
PRJEB1786,SAMEA1906510,-0.131119919074802,0.5374379846995866,False
PRJNA422434,SAMN00715142,-0.274844964472652,-0.3293490079068216,False
PRJEB21528,SAMEA104142178,-0.2115530638043004,0.248578384394044,False
PRJEB21528,SAMEA104142113,-0.3572284285360045,0.14437357196814712,False
L1,SAMEA2582168,-0.6069908336136214,0.093231381543275,False
PRJEB7774,SAMEA3136664,0.06478041656898646,0.2634786998573039,False
PRJEB11532,SAMEA3664711,-0.11600445500850759,0.1474927230586534,True
PRJEB12449,SAMEA3879560,0.028438876840417092,0.08862848698507499,False
PRJEB21528,SAMEA104142200,-0.35946314329450246,-0.1438116596620065,False
PRJEB6070,SAMEA2467068,-0.0975729298972966,0.46458171229193634,False
PRJEB21528,SAMEA104142238,-0.45653973723676694,-0.04315388809356464,False
N7,SAMN08813959,0.2805659774733353,0.06840610848191271,False
PRJEB10878,SAMEA3541478,-0.1901824076436965,0.23383054782299953,False
L1,SAMEA2582030,-0.570302533175482,-0.09590052705741506,False
N7,SAMN08814032,-0.5213474079868576,-0.2779874911790079,False
PRJNA385949,SAMN07199909,-0.07406028451667056,0.316562741132752,False
PRJEB12123,SAMEA3708524,-0.05226605680296263,0.2923376389411234,False
PRJNA389280,SAMN07424505,-0.2955733183231529,-0.20228352316765238,False
L1,SAMEA2582156,-0.30455940171472495,-0.3413543226235074,False
PRJEB7774,SAMEA3136758,-0.006300149557534353,0.5040352372511913,False
PRJEB12449,SAMEA3879558,-0.2245512985722995,0.3461780693871635,False
PRJEB21528,SAMEA104142084,-0.19730977721607285,0.11414814772502245,False
N4,SRR5275444,0.25989428955137495,0.3662217857785505,False
V1,RHB_RAM_0042,0.06459976097237302,0.34555981843381756,False
PRJEB6070,SAMEA2466958,0.033293445634212215,0.25595914719579765,False
PRJEB1786,SAMEA1906514,-0.33119798052479305,0.17738177483023565,False
PRJEB21528,SAMEA104142122,-0.3320269042586223,0.05194570719658204,False
PRJEB15371,SAMEA4431921,-0.6174710192956792,-0.0064322577797761215,False
L1,SAMEA2582086,-0.2861542400593752,0.35103094097709164,False
PRJEB7774,SAMEA3136745,-0.34423081072434963,-0.06728840612290007,False
PRJEB10878,SAMEA3541586,-0.42851765892873556,0.12001274196770115,False
N4,SRR5275464,-0.08721107072213485,0.30451145972539095,False
PRJEB6997,SAMEA2737752,-0.20471949861702451,0.1434158902677088,False
N5,SRR5279246,-0.2592990481091252,-0.005836237187301057,False
PRJEB15371,SAMEA4431915,-0.09540396387023098,0.2757351763945956,False
PRJEB10878,SAMEA3541525,-0.5159575845292524,-0.02788459016246277,False
L1,SAMEA2582083,-0.47531203360574487,0.00789786579961964,False
PRJEB6997,SAMEA2737653,0.009061267431726113,0.48897211013045494,False
PRJEB21528,SAMEA104142094,-0.39551840998489407,0.26348822337010985,False
L1,SAMEA2582032,-0.06103376274312717,0.5301991422429547,False
L1,SAMEA2582140,-0.17773813435800834,0.46501358458064773,False
L1,SAMEA2582050,-0.25859408033633746,0.037174094110388134,False
PRJEB21528,SAMEA104142081,-0.38094486392301397,0.3025954466990049,False
N4,SRR5275434,-0.0389129461666559,0.5480631730786072,False
PRJNA422434,SAMN00715209,-0.19128827388472436,0.11358927605418237,False
L1,SAMEA2582127,-0.09422901339859939,0.5200202351060067,False
PRJEB21528,SAMEA104142312,-0.3215453807837592,0.16879875746791997,False
PRJEB1786,SAMEA1906579,-0.20292220808831096,0.5373012849873813,False
PRJEB21528,SAMEA104142083,-0.33417649286156315,0.3728710213912115,False
PRJNA422434,SAMN00715222,-0.6470029765893054,0.19418343923617476,False
PRJEB7774,SAMEA3136727,0.10362706472564759,0.14337571084426395,False
PRJEB21528,SAMEA104142092,-0.21748890315359073,0.2744272200881532,False
N7,SAMN08813934,0.37891189396716873,0.11762584278992708,False
N4,SRR5275482,-0.08125699442263178,0.3676508598127274,False
N4,SRR5275463,0.050350483549822425,0.33048512603060487,False
PRJEB15371,SAMEA4431891,-0.6551483677940657,0.2288988303947527,False
L1,SAMEA2582027,-0.24023871281990214,0.026823741374025902,False
PRJEB1220,SAMEA2042446,-0.2043519438024527,-0.24704290393182132,False
PRJNA422434,SAMN00792102,-0.546509135244932,-0.16094247817610377,False
PRJNA422434,SAMN00792063,-0.46175596624843435,0.15206544695453236,False
L1,SAMEA2582039,-0.07514672587674946,0.4079794235911214,False
L1,SAMEA2582096,-0.25349529883644367,-0.03026553330937772,False
PRJEB10878,SAMEA3541505,-0.2033090591656256,0.15701466085649024,False
PRJEB21528,SAMEA104142303,-0.2657627673995997,0.10456788015893548,False
PRJEB12449,SAMEA3879567,-0.294815083585142,0.32837753589259,False
PRJNA299502,SAMN04209240,0.10683452136631084,0.387480643055366,False
PRJEB6070,SAMEA2466993,0.25734314174091943,0.1908012576078311,False
PRJEB6997,SAMEA2737869,0.2188276585910845,0.21014371732230958,True
PRJEB6997,SAMEA2737813,0.1337796071782704,0.2326135168122578,True
N7,SAMN08813924,0.07331027557479364,-0.3423517654450067,False
PRJEB21528,SAMEA104142291,-0.31335667495150316,0.13868428305815475,False
N7,SAMN08814031,-0.7773930476574381,-0.1929019360150831,False
PRJNA422434,SAMN00791962,-0.2743459578259578,0.07765419739607207,True
PRJEB21528,SAMEA104142327,-0.2745326826550748,0.07717340856853051,False
PRJEB21528,SAMEA104142250,-0.2545279476310485,0.19814739379106674,False
PRJEB6997,SAMEA2737676,0.015656155613396987,0.19959203548889157,False
L1,SAMEA2582066,-0.32934725064109893,0.14776130905058732,False
N7,SAMN08813941,0.25900025141671346,0.06689928041869826,False
L1,SAMEA2582058,0.2968408398250263,0.23686453714120695,False
PRJEB15371,SAMEA4431919,-0.6645565897068361,-0.265439828235864,False
PRJEB6997,SAMEA2737677,-0.1516470234404374,0.06057210577293027,False
PRJEB6997,SAMEA2737688,-0.16452005213589546,-0.3228740119268663,False
PRJEB21528,SAMEA104142203,-0.13905919795974067,0.16134944492308365,False
N4,SRR5275484,-0.2719483483028475,0.136442059656504,False
L1,SAMEA2582038,-0.3932708499755813,0.013208768372273786,False
PRJEB1220,SAMEA2042225,-0.24394510662079588,0.5218958730975757,False
N4,SRR5275411,-0.04797977851272111,0.5354717701133832,False
PRJEB15371,SAMEA4431908,-0.5222455293678975,0.13355649798352645,False
PRJNA422434,SAMN00792073,-0.4778157709841693,-0.07126178044421501,False
L1,SAMEA2582099,-0.20681423182771527,-0.27841488417227545,False
